# location_in_nm,avg_pixel_intensity_for_each_row
6.386247230693697929e+00,6.404925947666872162e+03
6.399691961705684662e+00,6.207328281767112458e+03
6.413136692717671394e+00,6.036776943777245833e+03
6.426581423729658127e+00,5.843790940909339042e+03
6.440026154741644859e+00,5.845436084710380783e+03
6.453470885753631592e+00,5.937404408945282739e+03
6.466915616765618324e+00,6.190592164781450265e+03
6.480360347777605057e+00,6.399268967809122842e+03
6.493805078789591789e+00,6.535213645388394070e+03
6.507249809801578522e+00,6.595384877361135295e+03
6.520694540813565254e+00,6.502702906598989102e+03
6.534139271825551987e+00,6.306135215256483207e+03
6.547584002837538719e+00,6.142119389134838457e+03
6.561028733849525452e+00,5.954033646816573309e+03
6.574473464861512184e+00,5.886183909290964039e+03
6.587918195873498917e+00,5.981027278637790005e+03
6.601362926885485649e+00,6.157469867035852985e+03
6.614807657897472382e+00,6.430924268183510321e+03
6.628252388909459114e+00,6.556050626378994821e+03
6.641697119921445847e+00,6.658914106340109356e+03
6.655141850933432579e+00,6.624515247257844749e+03
6.668586581945419312e+00,6.461667870584720731e+03
6.682031312957406044e+00,6.263129416886409672e+03
6.695476043969392776e+00,6.107119779875312815e+03
6.708920774981379509e+00,5.961071156071101541e+03
6.722365505993366241e+00,6.037253016605613993e+03
6.735810237005352974e+00,6.153059634949649990e+03
6.749254968017339706e+00,6.416522083512751124e+03
6.762699699029326439e+00,6.592961983314784447e+03
6.776144430041313171e+00,6.678618799570597730e+03
6.789589161053299904e+00,6.706232687940463620e+03
6.803033892065286636e+00,6.592706637654443512e+03
6.816478623077273369e+00,6.397718686542060823e+03
6.829923354089260101e+00,6.238703562556620454e+03
6.843368085101246834e+00,6.079920740152053440e+03
6.856812816113233566e+00,6.091772599665352573e+03
6.870257547125220299e+00,6.218407485192113199e+03
6.883702278137207031e+00,6.409060965639539972e+03
6.897147009149193764e+00,6.666845212124455429e+03
6.910591740161180496e+00,6.763185360011559169e+03
6.924036471173167229e+00,6.819954235466046157e+03
6.937481202185153961e+00,6.758049188196200703e+03
6.950925933197140694e+00,6.589690252120588411e+03
6.964370664209127426e+00,6.407129289364845135e+03
6.977815395221114159e+00,6.243973467735856502e+03
6.991260126233100891e+00,6.173366110594473867e+03
7.004704857245087624e+00,6.285344420567787893e+03
7.018149588257074356e+00,6.423766151761878064e+03
7.031594319269061089e+00,6.680215114016050393e+03
7.045039050281047821e+00,6.849969341593764511e+03
7.058483781293034554e+00,6.911443244086625782e+03
7.071928512305021286e+00,6.897591005455150480e+03
7.085373243317008018e+00,6.762898711495736279e+03
7.098817974328994751e+00,6.588463474761095313e+03
7.112262705340981483e+00,6.413805924868928741e+03
7.125707436352968216e+00,6.291025237385724722e+03
7.139152167364954948e+00,6.357354830783887337e+03
7.152596898376941681e+00,6.498221226568032762e+03
7.166041629388928413e+00,6.713204895221007973e+03
7.179486360400915146e+00,6.953119927681689660e+03
7.192931091412901878e+00,7.067461777365207126e+03
7.206375822424888611e+00,7.080224257553794814e+03
7.219820553436875343e+00,6.983537491582122129e+03
7.233265284448862076e+00,6.813051735702396400e+03
7.246710015460848808e+00,6.634894350083723111e+03
7.260154746472835541e+00,6.457146691801101042e+03
7.273599477484822273e+00,6.449508795434414424e+03
7.287044208496809006e+00,6.567985021460960525e+03
7.300488939508795738e+00,6.756513789632252156e+03
7.313933670520782471e+00,6.999972492237690858e+03
7.327378401532769203e+00,7.188250158330169143e+03
7.340823132544755936e+00,7.247193187784166184e+03
7.354267863556742668e+00,7.181071195170283318e+03
7.367712594568729401e+00,7.024467267998558782e+03
7.381157325580716133e+00,6.853317426511985104e+03
7.394602056592702866e+00,6.657719455326333446e+03
7.408046787604689598e+00,6.568108586584628029e+03
7.421491518616676331e+00,6.664026499459740080e+03
7.434936249628663063e+00,6.838902054512366703e+03
7.448380980640649796e+00,7.090851305248195786e+03
7.461825711652636528e+00,7.316278588248220331e+03
7.475270442664623260e+00,7.463118194593155749e+03
7.488715173676609993e+00,7.423470877925343302e+03
7.502159904688596725e+00,7.294365881595194878e+03
7.515604635700583458e+00,7.105851194349450452e+03
7.529049366712570190e+00,6.914794231554615180e+03
7.542494097724556923e+00,6.740238643093700375e+03
7.555938828736543655e+00,6.779134968362571271e+03
7.569383559748530388e+00,6.918654427065384880e+03
7.582828290760517120e+00,7.169938833790809440e+03
7.596273021772503853e+00,7.409487942350786398e+03
7.609717752784490585e+00,7.617046166493307283e+03
7.623162483796477318e+00,7.653296829087933475e+03
7.636607214808464050e+00,7.537098106413469395e+03
7.650051945820450783e+00,7.361538889886331162e+03
7.663496676832437515e+00,7.165839715934688684e+03
7.676941407844424248e+00,6.970815188521420168e+03
7.690386138856410980e+00,6.921449097358630752e+03
7.703830869868397713e+00,7.054583562280706246e+03
7.717275600880384445e+00,7.273557204316376556e+03
7.730720331892371178e+00,7.561182872061744092e+03
7.744165062904357910e+00,7.791771603959527056e+03
7.757609793916344643e+00,7.930432082688909759e+03
7.771054524928331375e+00,7.836963525863762698e+03
